Sehir;Grup1;Grup2;Grup3;Lat;Lon
Adana;1;3;3;37.0000;35.3213
Adıyaman;0;0;0;37.7648;38.2786
Afyonkarahisar;0;0;0;38.7564;30.5433
Ağrı;1;1;1;39.7191;43.0503
Aksaray;1;0;0;38.3687;34.0360
Amasya;1;1;1;40.6500;35.8333
Ankara;6;3;1;39.9208;32.8541
Antalya;2;3;3;36.8841;30.7056
Ardahan;2;0;0;41.1100;42.7022
Artvin;1;3;1;41.1833;41.8167
Aydın;2;0;0;37.8444;27.8458
Balıkesir;0;0;0;39.6484;27.8826
Bartın;0;0;0;41.5811;32.4610
Batman;1;1;1;37.8874;41.1322
Bayburt;1;1;1;40.2552;40.2249
Bilecik;0;0;0;40.1501;29.9833
Bingöl;1;1;1;38.8850;40.4983
Bitlis;1;0;1;38.4000;42.1167
Bolu;0;0;0;40.7350;31.6060
Burdur;0;0;0;37.7167;30.2833
Bursa;0;2;4;40.1950;29.0600
Çanakkale;0;0;0;40.1553;26.4142
Çankırı;0;0;0;40.6000;33.6167
Çorum;1;0;2;40.5500;34.9556
Denizli;0;1;0;37.7765;29.0864
Diyarbakır;1;0;0;37.9100;40.2400
Düzce;0;0;0;40.8438;31.1565
Edirne;0;0;0;41.6772;26.5556
Elazığ;0;0;1;38.6800;39.2260
Erzincan;0;2;0;39.7500;39.5000
Erzurum;32;17;27;39.9043;41.2679
Eskişehir;0;0;0;39.7747;30.5206
Gaziantep;1;7;0;37.0662;37.3833
Giresun;2;0;1;40.9128;38.3895
Gümüşhane;0;0;0;40.4600;39.4800
Hakkari;0;0;0;37.5833;43.7333
Hatay;1;0;2;36.2028;36.1600
Iğdır;2;0;1;39.9200;44.0400
Isparta;2;0;0;37.7667;30.5500
İstanbul;3;4;4;41.0082;28.9784
İzmir;2;0;0;38.4192;27.1287
Kahramanmaraş;0;2;0;37.5753;36.9228
Karabük;0;1;0;41.1950;32.6250
Karaman;0;0;0;37.1759;33.2287
Kars;3;4;4;40.6167;43.1000
Kastamonu;0;0;1;41.3887;33.7827
Kayseri;3;1;1;38.7322;35.4853
Kırıkkale;0;1;0;39.8468;33.5153
Kırklareli;0;0;0;41.7333;27.2167
Kırşehir;0;0;0;39.1500;34.1667
Kocaeli;1;2;1;40.7654;29.9406
Konya;0;0;0;37.8746;32.4932
Kütahya;0;0;0;39.4167;29.9833
Malatya;0;0;0;38.3552;38.3095
Manisa;2;0;1;38.6191;27.4289
Mardin;1;2;1;37.3122;40.7351
Mersin;0;0;0;36.8000;34.6333
Muğla;0;0;0;37.2153;28.3636
Muş;1;1;1;38.9462;41.7539
Nevşehir;1;0;0;38.6244;34.7239
Niğde;0;0;1;37.9667;34.6833
Ordu;0;2;4;40.9833;37.8833
Osmaniye;0;0;0;37.0681;36.2616
Rize;0;2;4;41.0201;40.5234
Sakarya;1;2;0;40.7569;30.3781
Samsun;0;0;3;41.2928;36.3313
Siirt;0;0;0;37.9333;41.9500
Sinop;1;0;0;42.0264;35.1554
Sivas;2;0;1;39.7477;37.0179
Şırnak;0;0;0;37.5167;42.4667
Tekirdağ;0;0;1;40.9833;27.5167
Tokat;2;0;2;40.3167;36.5500
Trabzon;2;12;10;41.0053;39.7269
Tunceli;0;0;0;39.1062;39.5488
Uşak;0;0;0;38.6823;29.4082
Van;0;0;0;38.5012;43.3723
Yalova;0;0;0;40.6500;29.2667
Yozgat;0;1;0;39.8200;34.8147
Zonguldak;0;0;1;41.4564;31.7987
